UF,Codigo SIAFI Municipio,Nome Municipio,Valor Parcela
BA,3593,IRECE,36200
RJ,5869,NOVA IGUACU,25600
SP,6291,CAMPINAS,12400
GO,9361,FORMOSA,8500
BA,3957,VALENCA,16300
CE,1389,FORTALEZA,20200
SP,6477,GUARULHOS,24100
PR,7777,PONTA GROSSA,25000
PE,2543,SALGUEIRO,8500
BA,3595,ITABERABA,19700
BA,3761,NOVA VICOSA,16300
GO,9439,JUSSARA,13400
MA,869,PINHEIRO,40700
CE,1389,FORTALEZA,20900
AM,255,MANAUS,8500
BA,3455,CICERO DANTAS,12400
RS,8801,PORTO ALEGRE,34200
PB,1981,CAMPINA GRANDE,20200
PR,7563,FOZ DO IGUACU,15600
PA,445,CAPITAO POCO,8500
CE,1389,FORTALEZA,17200
SP,6861,PINDAMONHANGABA,12400
PB,1975,CAJAZEIRAS,39200
PE,2577,SERRA TALHADA,8500
MG,4789,MANHUMIRIM,23800
MG,4617,INHAPIM,12400
AL,2785,MACEIO,3900
BA,3849,SALVADOR,12400
SC,8073,CANOINHAS,7800
AL,2705,ARAPIRACA,29700
PE,2381,CARUARU,8500
AP,605,MACAPA,20200
PB,2051,JOAO PESSOA,15100
PE,2531,RECIFE,12400
PE,2419,GARANHUNS,8500
BA,3877,SAO DESIDERIO,12400
MG,4263,CARANDAI,17100
BA,3833,RIBEIRA DO POMBAL,13100
MG,5359,TAIOBEIRAS,34200
SP,6671,MAIRIPORA,12400
RJ,5897,SAO GONCALO,17100
SP,6579,ITU,25700
AM,269,PARINTINS,25500
AP,613,LARANJAL DO JARI,28200
MG,4031,ALFENAS,17000
BA,3651,JACOBINA,25600
CE,1303,ACARAU,12400
CE,1341,BATURITE,18800
MT,9907,SORRISO,19500
AL,2837,PILAR,13100
RN,1761,NATAL,20800
PI,1043,CAMPO MAIOR,8500
PB,2051,JOAO PESSOA,12400
PA,535,SANTAREM,70300
PE,2381,CARUARU,12400
ES,5653,ITAGUACU,16300
RN,1713,JOAO CAMARA,34700
CE,1429,ITAPIPOCA,22200
GO,9395,INHUMAS,20900
PA,429,BENEVIDES,25100
SP,6639,LIMEIRA,8500
MG,5371,TEOFILO OTONI,37600
MG,4111,BARBACENA,16300
CE,1411,IGUATU,28000
CE,1321,ARACATI,12400
PI,1221,UNIAO,49900
GO,9459,MINEIROS,20200
BA,3629,ITAPETINGA,3900
PI,1223,URUCUI,32600
BA,3841,RIO REAL,12400
MA,803,IMPERATRIZ,12400
SP,6707,MIRASSOL,20200
AM,253,MANACAPURU,33700
AM,255,MANAUS,8500
RN,1619,APODI,19300
RN,1613,ALTO DO RODRIGUES,29300
SC,8367,TUBARAO,8700
MA,961,ACAILANDIA,28700
MG,4791,MANTENA,25800
PE,2355,BUIQUE,4600
BA,3549,SANTA RITA DE CASSIA,16600
MA,879,PRESIDENTE DUTRA,23900
PE,2419,GARANHUNS,42600
RJ,5879,PIRAI,18200
BA,3313,ALAGOINHAS,8500
CE,1455,MARANGUAPE,8500
PE,2477,LIMOEIRO,8700
PB,2027,GUARABIRA,17200
AL,2887,VICOSA,25700
PB,2117,PATOS,13100
SP,7107,SAO PAULO,13100
CE,1305,ACOPIARA,8900
MA,921,SAO LUIS,12400
SP,6969,RIBEIRAO PRETO,7800
SE,3189,NOSSA SENHORA DA GLORIA,25700
RJ,5849,MAGE,8500
MG,5257,SAO JOAO NEPOMUCENO,17200
CE,1389,FORTALEZA,19900
SE,3157,ITABAIANA,12400
CE,1569,TIANGUA,19300
MG,4763,LAVRAS,34200
PE,2457,JABOATAO DOS GUARARAPES,12400
CE,1411,IGUATU,8500
BA,3849,SALVADOR,12400
RS,8801,PORTO ALEGRE,16300
MG,4067,ARACUAI,12400
MT,9047,CACERES,8500
AC,107,CRUZEIRO DO SUL,13100
AM,255,MANAUS,45200
AM,275,SAO PAULO DE OLIVENCA,24800
MG,4767,LEOPOLDINA,51100
MS,9051,CAMPO GRANDE,3900
RS,8877,SAO LEOPOLDO,34200
BA,3849,SALVADOR,25700
BA,3399,CACULE,26200
BA,3313,ALAGOINHAS,25700
SP,7107,SAO PAULO,7800
PI,1057,CORRENTE,8500
AM,255,MANAUS,20200
CE,1453,LIMOEIRO DO NORTE,8500
PB,1981,CAMPINA GRANDE,24100
MA,793,GRAJAU,11700
SE,3105,ARACAJU,3900
SP,7107,SAO PAULO,8500
BA,3083,CAPIM GROSSO,59600
MG,4775,LUZ,17000
PB,2039,ITABAIANA,21600
PE,2383,CATENDE,34200
MG,4123,BELO HORIZONTE,24100
BA,3669,JUAZEIRO,36600
BA,3849,SALVADOR,16300
AP,615,SANTANA,17200
MS,9125,PARANAIBA,8700
PE,2521,PETROLINA,24100
BA,3901,SENHOR DO BONFIM,8500
SE,3247,TOBIAS BARRETO,20900
SP,6547,ITAPETININGA,17200
MG,4123,BELO HORIZONTE,12400
MG,4625,IPATINGA,8700
RJ,6001,RIO DE JANEIRO,3900
GO,9425,ITUMBIARA,20200
GO,9361,FORMOSA,17000
SC,8045,BIGUACU,17000
PE,2521,PETROLINA,43400
BA,3721,MATA DE SAO JOAO,34200
BA,3861,SANTALUZ,42700
MG,5341,SERRO,23800
MA,921,SAO LUIS,17900
BA,3849,SALVADOR,10900
SP,6371,CUBATAO,12400
SE,3195,NOSSA SENHORA DO SOCORRO,12400
BA,3651,JACOBINA,10100
AM,269,PARINTINS,40600
PE,2607,TORITAMA,16300
BA,3083,CAPIM GROSSO,10700
BA,3849,SALVADOR,12400
MS,9123,NOVA ANDRADINA,24100
SP,7107,SAO PAULO,8500
RJ,2909,BELFORD ROXO,34100
MG,4123,BELO HORIZONTE,12400
PA,433,BRAGANCA,20200
BA,3597,ITABUNA,16300
SP,6213,BARUERI,8700
MA,921,SAO LUIS,8700
SP,6723,MONGAGUA,15800
PE,2337,BEZERROS,15100
CE,1569,TIANGUA,30200
RO,5,JI-PARANA,21000
AC,139,RIO BRANCO,42600
AM,269,PARINTINS,24400
CE,1389,FORTALEZA,12400
CE,1389,FORTALEZA,16300
MA,921,SAO LUIS,7800
MG,4863,MONTE SANTO DE MINAS,16300
RN,1787,PAU DOS FERROS,25700
MA,869,PINHEIRO,47500
MG,5341,SERRO,4600
BA,3781,PAULO AFONSO,8500
AL,2705,ARAPIRACA,17000
BA,3965,VITORIA DA CONQUISTA,13100
RS,8801,PORTO ALEGRE,34100
BA,3433,CANDIDO SALES,13100
RJ,5897,SAO GONCALO,8700
PE,2489,NAZARE DA MATA,17100
MT,8985,SINOP,24800
BA,3807,PORTO SEGURO,17200
SP,6853,PERUIBE,8500
PR,7857,SANTO ANTONIO DO SUDOESTE,8500
BA,3597,ITABUNA,8500
MG,4123,BELO HORIZONTE,20200
PE,2531,RECIFE,3900
PB,1931,BANANEIRAS,29300
RN,1619,APODI,13400
MG,4533,FRANCISCO SA,24100
PI,1221,UNIAO,12400
MG,4133,BETIM,25700
PB,2095,MONTEIRO,20200
PB,2021,ESPERANCA,30100
TO,9243,ARAGUATINS,8500
AL,2859,SANTANA DO IPANEMA,19000
AM,255,MANAUS,20200
PI,1003,AGUA BRANCA,8500
SP,6449,GUAIRA,18100
MS,9179,MUNDO NOVO,17200
PE,2457,JABOATAO DOS GUARARAPES,12600
MG,4123,BELO HORIZONTE,12400
PE,2381,CARUARU,12400
PA,441,CAMETA,24200
PA,447,CASTANHAL,20200
PA,415,ANANINDEUA,13100
PB,2051,JOAO PESSOA,12400
PA,443,CAPANEMA,24100
AL,2871,SAO MIGUEL DOS CAMPOS,20200
PA,567,REDENCAO,8500
RJ,5903,SAO PEDRO DA ALDEIA,34100
DF,9701,BRASILIA,20200
CE,1383,CRATEUS,16700
MG,4123,BELO HORIZONTE,16300
PE,2477,LIMOEIRO,12400
SP,6639,LIMEIRA,34100
SP,7149,SUMARE,16300
AP,613,LARANJAL DO JARI,16300
MG,4123,BELO HORIZONTE,12400
BA,3751,NAZARE,20800
MG,4231,CAMPOS GERAIS,11700
PA,427,BELEM,12400
PE,2531,RECIFE,12400
PB,2079,MAMANGUAPE,12400
BA,3613,ITAMARAJU,12400
BA,3593,IRECE,13300
BA,3661,JEQUIE,14900
CE,1389,FORTALEZA,22200
PE,2301,AFOGADOS DA INGAZEIRA,15800
BA,3805,POJUCA,13100
PA,509,PARAGOMINAS,25700
MA,731,BARRA DO CORDA,12400
BA,3319,AMARGOSA,17000
BA,3807,PORTO SEGURO,16300
RJ,6001,RIO DE JANEIRO,16300
PE,2457,JABOATAO DOS GUARARAPES,22300
CE,1411,IGUATU,20200
PE,2627,VITORIA DE SANTO ANTAO,12400
RJ,5873,PARAIBA DO SUL,20900
MA,921,SAO LUIS,14300
SP,6861,PINDAMONHANGABA,16300
BA,3821,REMANSO,22000
BA,3865,SANTANA,16300
SP,7209,UBATUBA,12400
PA,447,CASTANHAL,12400
SP,7107,SAO PAULO,16300
PB,2117,PATOS,20900
AM,255,MANAUS,30200
BA,3363,BARREIRAS,42600
RS,8813,RESTINGA SECA,4600
PE,2381,CARUARU,14100
PE,2581,SERTANIA,20200
RS,8903,SARANDI,12400
BA,3871,SANTO AMARO,8500
SP,7107,SAO PAULO,12400
BA,3901,SENHOR DO BONFIM,20200
MA,803,IMPERATRIZ,3900
SE,3247,TOBIAS BARRETO,17500
MG,5427,VICOSA,24100
SC,8107,FRAIBURGO,4600
PB,2207,SAPE,17200
CE,1545,SANTA QUITERIA,12400
RJ,5901,SAO JOAO DE MERITI,16300
PR,7565,FRANCISCO BELTRAO,17000
CE,1475,MORADA NOVA,8500
PR,7885,SAO JOSE DOS PINHAIS,11700
PA,441,CAMETA,16300
RJ,5803,ARARUAMA,8500
PB,2051,JOAO PESSOA,17200
BA,3593,IRECE,8500
BA,3413,CAMACARI,12400
BA,3669,JUAZEIRO,12400
BA,3901,SENHOR DO BONFIM,12400
PB,2039,ITABAIANA,19000
SP,6291,CAMPINAS,3900
SC,8161,ITAJAI,7800
SP,6793,OSVALDO CRUZ,25700
BA,3817,QUEIMADAS,17100
MS,9063,CORUMBA,4600
PA,453,CONCEICAO DO ARAGUAIA,16300
MA,921,SAO LUIS,15600
RO,1,GUAJARA-MIRIM,32600
SP,7107,SAO PAULO,12400
PE,2531,RECIFE,3900
PR,7513,COLOMBO,17200
RS,8723,JAGUARI,17100
MG,4625,IPATINGA,16300
BA,3403,CAETITE,12400
MG,4787,MANHUACU,17200
MG,4937,PAPAGAIOS,20900
BA,3597,ITABUNA,16300
PI,1219,TERESINA,16300
MS,9051,CAMPO GRANDE,20200
AC,105,BRASILEIA,13900
BA,3515,FEIRA DE SANTANA,7800
MG,4385,COROMANDEL,24100
PA,399,URUARA,20900
SP,6547,ITAPETININGA,24100
AM,261,MAUES,95000
MG,4877,MURIAE,25600
RJ,6001,RIO DE JANEIRO,17000
SP,6333,CESARIO LANGE,12400
SP,7107,SAO PAULO,12400
BA,3849,SALVADOR,12400
RS,8867,SAO FRANCISCO DE PAULA,3900
SC,8183,LAGES,8500
SP,6853,PERUIBE,20200
PE,2357,CABO DE SANTO AGOSTINHO,33700
CE,1569,TIANGUA,19600
BA,3965,VITORIA DA CONQUISTA,8700
CE,1321,ARACATI,8500
GO,9227,APARECIDA DE GOIANIA,3900
ES,5641,ECOPORANGA,8700
BA,3377,BOM JESUS DA LAPA,16300
PA,435,BREVES,31400
SP,7107,SAO PAULO,4600
SP,7107,SAO PAULO,36100
SP,7107,SAO PAULO,17100
BA,3403,CAETITE,49900
MG,4209,CAMANDUCAIA,28700
MT,9907,SORRISO,12400
MG,4349,CONCEICAO DO MATO DENTRO,8700
RS,8801,PORTO ALEGRE,17700
AL,2785,MACEIO,7800
MG,4067,ARACUAI,24800
AM,255,MANAUS,20200
RN,1761,NATAL,8500
PI,1043,CAMPO MAIOR,30200
BA,3807,PORTO SEGURO,12400
RJ,5903,SAO PEDRO DA ALDEIA,25100
PI,1077,FLORIANO,17200
MS,9051,CAMPO GRANDE,12400
PA,435,BREVES,15800
PE,2381,CARUARU,17200
BA,3803,POCOES,19700
CE,1559,SOBRAL,12100
RJ,5909,SAQUAREMA,25700
TO,9385,GURUPI,11700
GO,9431,JARAGUA,8700
BA,3315,ALCOBACA,32700
BA,3377,BOM JESUS DA LAPA,29300
MG,4267,CARATINGA,4600
MG,5023,PIRAPORA,12400
SP,6931,PRESIDENTE VENCESLAU,8500
BA,3743,MUNDO NOVO,8500
RJ,5813,CABO FRIO,8500
GO,1066,VALPARAISO DE GOIAS,24800
CE,1547,SAO BENEDITO,30200
SE,3169,LAGARTO,20900
CE,1321,ARACATI,29300
MA,869,PINHEIRO,24100
PE,2419,GARANHUNS,8500
PA,477,JURUTI,20200
CE,1429,ITAPIPOCA,8500
SE,3219,RIBEIROPOLIS,16300
PA,425,BARCARENA,26200
PA,447,CASTANHAL,8500
SP,7107,SAO PAULO,8500
PE,2627,VITORIA DE SANTO ANTAO,8700
PA,429,BENEVIDES,32600
PB,2225,SOUSA,25700
BA,3871,SANTO AMARO,8500
PR,7535,CURITIBA,25600
BA,3579,IPIAU,19300
BA,3403,CAETITE,24800
RN,1761,NATAL,16300
MG,4123,BELO HORIZONTE,12400
MA,861,PEDREIRAS,15700
MA,757,CAXIAS,16300
BA,3513,EUCLIDES DA CUNHA,9700
PB,2021,ESPERANCA,25600
AC,139,RIO BRANCO,17000
BA,3641,ITIUBA,21700
MG,5143,SANTA BARBARA,25600
PI,1077,FLORIANO,16300
BA,3511,ESPLANADA,8500
PB,2175,SANTA RITA,8500
SP,6477,GUARULHOS,3900
SP,7107,SAO PAULO,20200
TO,9733,PALMAS,31400
SE,3195,NOSSA SENHORA DO SOCORRO,20200
AL,2813,OLHO D'AGUA DAS FLORES,8500
SE,3105,ARACAJU,12400
BA,3515,FEIRA DE SANTANA,25600
PA,629,NOVO REPARTIMENTO,12400
SP,7107,SAO PAULO,12400
RJ,5897,SAO GONCALO,27000
PE,2531,RECIFE,16300
CE,1429,ITAPIPOCA,20200
DF,9701,BRASILIA,21600
DF,9701,BRASILIA,16300
SP,6723,MONGAGUA,12400
RN,1759,MOSSORO,14100
PB,1981,CAMPINA GRANDE,12400
BA,3833,RIBEIRA DO POMBAL,8500
CE,1429,ITAPIPOCA,31300
RS,8799,PORTAO,3900
PE,2543,SALGUEIRO,30100
RJ,5813,CABO FRIO,12400
PB,1921,AREIA,8500
PA,447,CASTANHAL,20200
BA,3849,SALVADOR,12400
AL,2809,MURICI,15800
MA,957,SANTA INES,42700
SP,6305,CAPAO BONITO,4600
PA,567,REDENCAO,20200
PE,2521,PETROLINA,12400
PR,9983,FAZENDA RIO GRANDE,7800
PA,427,BELEM,12400
PE,2419,GARANHUNS,47700
CE,1303,ACARAU,8500
MG,5371,TEOFILO OTONI,20200
MS,9157,SIDROLANDIA,3900
PA,483,MARABA,29300
SP,7107,SAO PAULO,19500
BA,3651,JACOBINA,24100
RJ,5833,DUQUE DE CAXIAS,16300
PI,1077,FLORIANO,13100
CE,1351,CAMOCIM,12400
SP,6953,REGISTRO,20200
