UF,Codigo SIAFI Municipio,Nome Municipio,Valor Parcela
PA,475,JACUNDA,14800
PE,2521,PETROLINA,24100
PE,2531,RECIFE,17900
MG,4199,CAETE,4600
MA,949,VIANA,14800
AL,2833,PENEDO,13400
MG,5427,VICOSA,11700
PA,433,BRAGANCA,40100
PR,7889,SAO MIGUEL DO IGUACU,7800
RN,1603,ASSU,24800
AM,255,MANAUS,17000
MG,5091,RIBEIRAO DAS NEVES,34200
BA,3363,BARREIRAS,51200
AL,2813,OLHO D'AGUA DAS FLORES,13100
GO,9635,URUANA,12400
CE,1427,ITAPAGE,33200
GO,9473,MORRINHOS,12400
TO,9733,PALMAS,3900
GO,9395,INHUMAS,12400
BA,3817,QUEIMADAS,8500
MA,861,PEDREIRAS,15800
BA,3865,SANTANA,12400
BA,3873,SANTO ANTONIO DE JESUS,17700
MA,921,SAO LUIS,13100
BA,3313,ALAGOINHAS,33800
BA,3515,FEIRA DE SANTANA,8500
PI,1077,FLORIANO,50600
AM,255,MANAUS,3900
MG,5115,RIO POMBA,3900
BA,3849,SALVADOR,3900
AP,615,SANTANA,26200
SP,6495,IBIUNA,12400
PA,471,ITAITUBA,26100
PE,2549,SANTA CRUZ DO CAPIBARIBE,7800
CE,1559,SOBRAL,16300
BA,3845,RUY BARBOSA,24200
PB,1937,BAYEUX,8700
TO,9685,AUGUSTINOPOLIS,24200
GO,1066,VALPARAISO DE GOIAS,12400
PI,1043,CAMPO MAIOR,24500
PE,2379,CARPINA,16300
MG,4123,BELO HORIZONTE,11700
RJ,6001,RIO DE JANEIRO,16300
PA,427,BELEM,16300
BA,3743,MUNDO NOVO,8700
MA,869,PINHEIRO,25600
SC,8253,PINHALZINHO,9200
CE,1559,SOBRAL,27600
RO,13,VILHENA,12400
PE,2381,CARUARU,12400
SC,8179,JOINVILLE,8500
CE,1389,FORTALEZA,28100
MG,4595,IBIRITE,20200
SP,6291,CAMPINAS,12400
PA,427,BELEM,17000
PB,1981,CAMPINA GRANDE,17000
AL,2887,VICOSA,13100
SP,6217,BATATAIS,8700
SP,6249,BOTUCATU,29000
RO,47,NOVA MAMORE,16300
AL,2845,PORTO CALVO,11700
PA,471,ITAITUBA,24800
CE,1463,MAURITI,29700
PA,535,SANTAREM,37300
BA,3803,POCOES,12400
MG,4031,ALFENAS,7800
AL,2859,SANTANA DO IPANEMA,12400
PE,2531,RECIFE,17000
PI,1225,VALENCA DO PIAUI,12400
AP,605,MACAPA,16700
CE,1439,JAGUARIBE,34100
AL,2705,ARAPIRACA,8500
MG,5407,UNAI,21800
CE,1447,JUAZEIRO DO NORTE,7800
AL,2705,ARAPIRACA,8500
SP,6929,PRESIDENTE PRUDENTE,7800
SP,7145,SOROCABA,16300
RN,1661,CURRAIS NOVOS,27600
SC,8045,BIGUACU,25700
PE,2323,ARCOVERDE,39600
SC,8183,LAGES,8700
MG,4703,JANUARIA,25700
RJ,6001,RIO DE JANEIRO,20200
PA,427,BELEM,16300
PI,1003,AGUA BRANCA,42600
PB,2051,JOAO PESSOA,31400
PE,2531,RECIFE,3900
RJ,5861,NATIVIDADE,12400
PE,2531,RECIFE,16300
PE,2627,VITORIA DE SANTO ANTAO,8500
MA,761,CHAPADINHA,16200
MG,4123,BELO HORIZONTE,16300
PA,585,GARRAFAO DO NORTE,23400
AL,2785,MACEIO,17200
BA,3533,GUANAMBI,13300
PR,7535,CURITIBA,23200
PA,401,ABAETETUBA,8500
MG,4787,MANHUACU,3900
TO,9241,ARAGUAINA,8500
MA,761,CHAPADINHA,25000
SP,6177,ARUJA,32700
SP,6789,OSASCO,8500
BA,3743,MUNDO NOVO,17200
RJ,6001,RIO DE JANEIRO,7800
GO,9439,JUSSARA,23200
MG,5343,SETE LAGOAS,12400
PI,1219,TERESINA,8500
PA,399,URUARA,19600
PA,535,SANTAREM,16300
BA,3817,QUEIMADAS,31700
RJ,5925,VOLTA REDONDA,25700
BA,3419,CAMPO FORMOSO,15800
PA,427,BELEM,17000
SP,6789,OSASCO,28000
PA,535,SANTAREM,24100
CE,1351,CAMOCIM,8500
PB,2079,MAMANGUAPE,40100
GO,9293,CAMPINORTE,16300
AM,217,BORBA,42700
MG,5035,POCOS DE CALDAS,8700
MG,4123,BELO HORIZONTE,11700
RJ,5833,DUQUE DE CAXIAS,12400
MG,4123,BELO HORIZONTE,12400
SE,3219,RIBEIROPOLIS,12400
CE,1411,IGUATU,28200
RS,8801,PORTO ALEGRE,25700
BA,3515,FEIRA DE SANTANA,7800
BA,3713,MARAGOGIPE,33100
RS,8531,BAGE,12400
RJ,6001,RIO DE JANEIRO,19500
PR,7607,IRATI,8500
MA,957,SANTA INES,20800
AM,255,MANAUS,7800
MG,4533,FRANCISCO SA,7800
RJ,2921,RIO DAS OSTRAS,28000
SP,6291,CAMPINAS,33300
SE,3105,ARACAJU,3900
CE,1527,QUIXADA,32700
RN,1741,MACAIBA,13100
MG,5427,VICOSA,12700
PA,427,BELEM,16300
PI,1155,PAULISTANA,12400
BA,3455,CICERO DANTAS,12400
PE,2427,GRAVATA,25400
AM,255,MANAUS,8500
AL,2789,MARAGOGI,8500
SP,7107,SAO PAULO,17200
PE,2381,CARUARU,8500
AL,2785,MACEIO,17000
MG,4821,MATOZINHOS,12400
GO,9445,LUZIANIA,12400
CE,1527,QUIXADA,12400
AM,255,MANAUS,16300
CE,1341,BATURITE,12400
RS,8847,SANTA ROSA,24100
RN,1661,CURRAIS NOVOS,27800
PB,2027,GUARABIRA,30500
PA,471,ITAITUBA,20900
RS,8917,SOBRADINHO,16300
MG,5343,SETE LAGOAS,24100
PI,1037,BOM JESUS,16300
RJ,5925,VOLTA REDONDA,17000
PE,2301,AFOGADOS DA INGAZEIRA,12400
MG,4029,ALEM PARAIBA,8700
RJ,5819,CAMPOS DOS GOITACAZES,14500
RO,15,JARU,20200
RJ,5813,CABO FRIO,16200
MG,4617,INHAPIM,8500
MG,4017,AGUAS FORMOSAS,8700
RJ,6001,RIO DE JANEIRO,17000
AL,2789,MARAGOGI,16300
PI,1167,PIRIPIRI,7800
RS,8881,SAO LUIZ GONZAGA,8500
MA,1287,ZE DOCA,12400
SP,6547,ITAPETININGA,16300
SP,7121,SAO VICENTE,34100
RR,301,BOA VISTA,8500
SP,6229,BIRIGUI,3900
RS,8841,SANTA MARIA,16300
MA,761,CHAPADINHA,34200
MS,9111,MIRANDA,16300
MG,4381,CORINTO,20900
BA,3413,CAMACARI,16300
GO,1066,VALPARAISO DE GOIAS,16300
PE,2419,GARANHUNS,24100
MT,9091,ITIQUIRA,12400
RS,8791,PELOTAS,8500
RS,8667,FREDERICO WESTPHALEN,12400
BA,3459,COARACI,24100
CE,1389,FORTALEZA,16300
PE,2581,SERTANIA,24100
RN,1759,MOSSORO,8500
SP,6251,BRAGANCA PAULISTA,16300
PA,48,CANAA DOS CARAJAS,16300
BA,3663,JEREMOABO,28700
BA,3313,ALAGOINHAS,17600
MA,733,BARREIRINHAS,58700
PA,427,BELEM,27800
PE,2383,CATENDE,93600
AL,2705,ARAPIRACA,8500
CE,1347,BOA VIAGEM,8500
ES,5617,BARRA DE SAO FRANCISCO,16300
SP,6695,MIGUELOPOLIS,34100
CE,1389,FORTALEZA,24100
CE,1493,PACAJUS,12400
MA,733,BARREIRINHAS,24400
BA,3595,ITABERABA,16300
BA,3833,RIBEIRA DO POMBAL,32600
PE,2341,BOM CONSELHO,19400
RR,301,BOA VISTA,14200
CE,1569,TIANGUA,16300
PE,2381,CARUARU,12400
PB,1981,CAMPINA GRANDE,25700
RJ,5833,DUQUE DE CAXIAS,7800
SP,7107,SAO PAULO,3900
RJ,5839,ITAGUAI,9700
PA,483,MARABA,16300
MG,5359,TAIOBEIRAS,22600
AP,605,MACAPA,58600
PE,2477,LIMOEIRO,17000
MG,5155,SANTA LUZIA,7800
PR,7535,CURITIBA,17300
PA,493,MOJU,23200
PA,427,BELEM,17000
PB,2079,MAMANGUAPE,34200
PE,2577,SERRA TALHADA,27700
CE,1303,ACARAU,15800
SE,3123,CANINDE DE SAO FRANCISCO,74000
BA,3661,JEQUIE,18700
PI,1159,PICOS,25100
MG,5371,TEOFILO OTONI,38600
MG,4821,MATOZINHOS,12400
PI,1159,PICOS,12400
PE,2381,CARUARU,7800
PE,2381,CARUARU,8500
PB,2039,ITABAIANA,34200
SP,7099,SAO JOSE DOS CAMPOS,3900
MG,4733,JUIZ DE FORA,20200
RJ,5869,NOVA IGUACU,12400
MG,5401,UBERABA,34100
CE,1385,CRATO,13400
MG,4827,MEDINA,8700
PA,411,ALTAMIRA,36200
MA,1287,ZE DOCA,32500
PA,629,NOVO REPARTIMENTO,16600
BA,3849,SALVADOR,8500
RS,8955,VENANCIO AIRES,13100
PE,2521,PETROLINA,13100
AM,255,MANAUS,41500
MG,5023,PIRAPORA,12400
MA,921,SAO LUIS,4600
MA,1287,ZE DOCA,12400
SP,6219,BAURU,13100
PE,2383,CATENDE,12400
GO,9361,FORMOSA,3900
PA,433,BRAGANCA,12400
BA,3083,CAPIM GROSSO,34200
AL,2845,PORTO CALVO,8500
CE,1389,FORTALEZA,20200
AL,2785,MACEIO,12400
SP,6853,PERUIBE,12400
CE,1475,MORADA NOVA,8500
MA,957,SANTA INES,49400
AC,147,TARAUACA,42700
MA,901,SANTA RITA,15800
SE,3195,NOSSA SENHORA DO SOCORRO,18100
AL,2793,MARECHAL DEODORO,27700
GO,1058,NOVO GAMA,7800
BA,3849,SALVADOR,8700
BA,3849,SALVADOR,20200
PI,1199,SAO JOAO DO PIAUI,42700
BA,3039,SERRA DO RAMALHO,12400
CE,1581,VARZEA ALEGRE,8500
BA,3849,SALVADOR,17800
RJ,5805,BARRA DO PIRAI,12400
RS,8847,SANTA ROSA,11700
PB,1931,BANANEIRAS,12400
DF,9701,BRASILIA,12400
SP,6371,CUBATAO,34100
SP,7145,SOROCABA,4600
PA,441,CAMETA,12400
PE,2589,SURUBIM,17100
SP,6645,LORENA,42200
MA,861,PEDREIRAS,20200
PB,2041,ITAPORANGA,23300
PR,7565,FRANCISCO BELTRAO,11700
PA,571,XINGUARA,16300
PA,591,OURILANDIA DO NORTE,24800
RO,9,CACOAL,16300
MG,5385,TRES CORACOES,8500
GO,9681,INDIARA,14800
MG,5359,TAIOBEIRAS,12400
SP,6291,CAMPINAS,12400
MG,5023,PIRAPORA,8500
CE,1337,BARBALHA,20200
PE,2457,JABOATAO DOS GUARARAPES,16300
RJ,6001,RIO DE JANEIRO,8500
SP,7107,SAO PAULO,25600
SP,7107,SAO PAULO,12400
MG,5397,UBA,16300
AP,605,MACAPA,11700
RS,8901,SAPUCAIA DO SUL,17000
PE,2491,OLINDA,8500
BA,3849,SALVADOR,8500
PE,2457,JABOATAO DOS GUARARAPES,12400
PE,2607,TORITAMA,13100
AM,255,MANAUS,3900
MG,4865,MONTES CLAROS,12400
MG,4415,CRUZILIA,25100
BA,3821,REMANSO,42700
RJ,5843,ITAPERUNA,12400
SE,3169,LAGARTO,8500
RJ,6001,RIO DE JANEIRO,24800
MA,727,BALSAS,37700
PA,471,ITAITUBA,24800
BA,3653,JAGUAQUARA,8500
RO,7,ARIQUEMES,13100
SP,6887,PIRASSUNUNGA,8700
AM,217,BORBA,41700
PA,427,BELEM,8500
RS,8801,PORTO ALEGRE,20200
AM,261,MAUES,46200
AP,615,SANTANA,12400
BA,3735,MORRO DO CHAPEU,16300
MG,4625,IPATINGA,25700
AM,255,MANAUS,16300
RJ,5853,MARICA,8500
SP,6221,BEBEDOURO,24100
CE,1389,FORTALEZA,3900
MA,727,BALSAS,12400
PE,2577,SERRA TALHADA,20200
PA,493,MOJU,16300
AM,9847,TABATINGA,20200
AC,139,RIO BRANCO,17100
MG,4033,ALMENARA,24100
SP,6643,LINS,7800
BA,3533,GUANAMBI,12400
RN,1741,MACAIBA,13100
PE,2337,BEZERROS,22100
CE,1389,FORTALEZA,8500
AL,2705,ARAPIRACA,34100
SE,3105,ARACAJU,20200
AL,2775,JOAQUIM GOMES,24100
PA,425,BARCARENA,16300
CE,1351,CAMOCIM,8500
AM,275,SAO PAULO DE OLIVENCA,39700
CE,1559,SOBRAL,3900
SE,3141,ESTANCIA,24800
PI,1139,OEIRAS,24100
PR,7769,PIRAQUARA,12400
CE,1369,CASCAVEL,31300
AC,139,RIO BRANCO,3900
PA,441,CAMETA,29300
MG,5435,VIRGINIA,8500
AL,2785,MACEIO,3900
BA,3873,SANTO ANTONIO DE JESUS,19300
MT,9167,VARZEA GRANDE,16300
MA,869,PINHEIRO,12400
SP,7107,SAO PAULO,12400
SP,7107,SAO PAULO,7800
AM,255,MANAUS,34600
SP,7107,SAO PAULO,7800
MA,949,VIANA,12400
RJ,6001,RIO DE JANEIRO,16300
PE,2521,PETROLINA,16300
SP,6713,MOGI DAS CRUZES,8500
SP,6645,LORENA,3900
RJ,5897,SAO GONCALO,17000
SP,6155,ARACATUBA,7800
SP,7107,SAO PAULO,24100
SP,6875,PIRACICABA,15600
PR,7779,PORECATU,8500
MG,4301,CASSIA,16300
AL,2785,MACEIO,16300
BA,3965,VITORIA DA CONQUISTA,16300
BA,3399,CACULE,16300
PA,425,BARCARENA,24800
PI,1167,PIRIPIRI,16300
AL,2853,RIO LARGO,17500
BA,3319,AMARGOSA,8500
AP,605,MACAPA,19600
RN,1761,NATAL,16300
BA,3747,MURITIBA,17200
AM,255,MANAUS,14200
CE,1389,FORTALEZA,3900
BA,3573,ILHEUS,28200
MG,5371,TEOFILO OTONI,22600
CE,1383,CRATEUS,12400
MA,763,CODO,24100
PB,2225,SOUSA,8500
BA,3411,CAMACAN,17200
CE,1385,CRATO,21700
RN,1787,PAU DOS FERROS,25600
CE,1389,FORTALEZA,13200
RJ,6001,RIO DE JANEIRO,16300
BA,3533,GUANAMBI,14200
PI,1073,ESPERANTINA,20900
RN,1779,PARNAMIRIM,4600
MG,4893,NOVA ERA,29400
AL,2827,PAO DE ACUCAR,8500
CE,1495,PACATUBA,16300
BA,3669,JUAZEIRO,17600
SP,6929,PRESIDENTE PRUDENTE,12400
MG,4145,BOCAIUVA,20200
CE,1559,SOBRAL,8700
PE,2589,SURUBIM,4600
MA,757,CAXIAS,20200
MG,4033,ALMENARA,41500
PE,2531,RECIFE,21600
PE,2577,SERRA TALHADA,24400
PI,1225,VALENCA DO PIAUI,21800
MG,4733,JUIZ DE FORA,12400
MG,4123,BELO HORIZONTE,8500
SP,7107,SAO PAULO,3900
MG,4123,BELO HORIZONTE,8700
DF,9701,BRASILIA,20200
SE,3209,POCO VERDE,13400
PE,2549,SANTA CRUZ DO CAPIBARIBE,20200
ES,5617,BARRA DE SAO FRANCISCO,8500
MA,957,SANTA INES,14100
AL,2795,MARIBONDO,24800
TO,9685,AUGUSTINOPOLIS,24100
BA,3593,IRECE,16300
GO,9489,NIQUELANDIA,25700
GO,9555,PORANGATU,14000
SP,6317,CASA BRANCA,25600
RN,1761,NATAL,25700
BA,3391,BRUMADO,8500
PR,7503,CHOPINZINHO,7800
SP,6713,MOGI DAS CRUZES,17100
PE,2419,GARANHUNS,7800
PR,7791,PRUDENTOPOLIS,16300
PE,2521,PETROLINA,15700
SP,6291,CAMPINAS,20900
PB,2051,JOAO PESSOA,15600
SP,7107,SAO PAULO,3900
PI,1219,TERESINA,28000
PI,1073,ESPERANTINA,12400
PR,7937,UNIAO DA VITORIA,25500
PE,2627,VITORIA DE SANTO ANTAO,17200
PA,535,SANTAREM,22900
BA,3403,CAETITE,8500
BA,3943,UBAITABA,31400
CE,1475,MORADA NOVA,23800
BA,3849,SALVADOR,42700
MA,763,CODO,8500
BA,3849,SALVADOR,12400
PR,7691,MARINGA,13100
MA,1285,SANTA LUZIA DO PARUA,34600
RJ,5819,CAMPOS DOS GOITACAZES,34200
AM,255,MANAUS,20900
SP,7107,SAO PAULO,21400
PR,7915,TELEMACO BORBA,12400
RJ,5839,ITAGUAI,3900
CE,1455,MARANGUAPE,16300
PA,427,BELEM,16200
PE,2627,VITORIA DE SANTO ANTAO,16300
BA,3363,BARREIRAS,27600
PB,1931,BANANEIRAS,17100
BA,3909,SERRINHA,12400
BA,3597,ITABUNA,8500
MA,803,IMPERATRIZ,25700
SP,6545,ITAPECERICA DA SERRA,28000
SP,6671,MAIRIPORA,24100
MG,4123,BELO HORIZONTE,31700
BA,3595,ITABERABA,16300
CE,1347,BOA VIAGEM,25000
SP,7107,SAO PAULO,20200
BA,3593,IRECE,3900
AM,251,LABREA,25600
MG,5371,TEOFILO OTONI,30900
AL,2727,CAMPO ALEGRE,12400
AM,223,CAREIRO,12400
PE,2321,ARARIPINA,24700
SP,6547,ITAPETININGA,3900
TO,9241,ARAGUAINA,8500
PE,2531,RECIFE,16300
BA,3849,SALVADOR,26900
TO,9519,PARAISO DO TOCANTINS,11700
PE,2419,GARANHUNS,9700
MG,4755,LAMBARI,17100
MG,4703,JANUARIA,51100
RJ,5925,VOLTA REDONDA,8700
MS,9063,CORUMBA,28700
PA,433,BRAGANCA,25700
PE,2301,AFOGADOS DA INGAZEIRA,17200
MG,5371,TEOFILO OTONI,46400
BA,3357,BARRA DO CHOCA,16300
RJ,2909,BELFORD ROXO,8700
MA,879,PRESIDENTE DUTRA,12400
MT,9095,JACIARA,25700
TO,9685,AUGUSTINOPOLIS,8500
RJ,2911,QUEIMADOS,16300
GO,9377,GOIAS,30900
MG,4439,DIVINO,17800
PA,559,TOME-ACU,12400
SP,6551,ITAPEVI,7800
MA,921,SAO LUIS,8500
RJ,5833,DUQUE DE CAXIAS,7800
RS,8685,GUAIBA,16300
BA,3565,IBOTIRAMA,25700
BA,3629,ITAPETINGA,25600
SC,8069,CAMPOS NOVOS,3900
BA,3751,NAZARE,8500
MA,763,CODO,14700
PB,1981,CAMPINA GRANDE,16300
PA,411,ALTAMIRA,17000
RJ,5925,VOLTA REDONDA,8700
PA,483,MARABA,27700
PB,1981,CAMPINA GRANDE,24800
CE,1571,TRAIRI,21300
PB,2041,ITAPORANGA,17200
RJ,5925,VOLTA REDONDA,25600
RN,1765,NOVA CRUZ,25700
TO,367,LAGOA DA CONFUSAO,12400
MA,869,PINHEIRO,29400
MA,949,VIANA,25700
MG,4649,ITAMARANDIBA,12400
SP,7107,SAO PAULO,16300
SP,7107,SAO PAULO,14800
SP,7107,SAO PAULO,7800
BA,3845,RUY BARBOSA,24500
PA,427,BELEM,8500
BA,3279,ITABELA,13100
MG,4123,BELO HORIZONTE,3900
AL,2705,ARAPIRACA,8500
MS,9787,CHAPADAO DO SUL,20200
RS,8771,NOVO HAMBURGO,8500
MG,4881,MUZAMBINHO,12400
RN,1759,MOSSORO,13300
BA,3849,SALVADOR,24100
BA,3595,ITABERABA,8500
MG,5035,POCOS DE CALDAS,26500
PA,427,BELEM,19700
MG,4687,ITURAMA,16300
RJ,5865,NITEROI,20200
CE,1569,TIANGUA,8500
BA,3455,CICERO DANTAS,38600
BA,3597,ITABUNA,7800
RS,8801,PORTO ALEGRE,16300
PI,1003,AGUA BRANCA,13100
RJ,5871,PARACAMBI,16000
RJ,5819,CAMPOS DOS GOITACAZES,14800
RS,8847,SANTA ROSA,20900
SP,7145,SOROCABA,8500
PB,2207,SAPE,27300
PA,443,CAPANEMA,12400
MG,4371,CONTAGEM,12400
MA,901,SANTA RITA,16300
BA,3959,VALENTE,8700
RO,13,VILHENA,24100
SP,6847,PENAPOLIS,32600
RS,8801,PORTO ALEGRE,12400
SP,7075,SAO BERNARDO DO CAMPO,7800
RS,8511,ALVORADA,24100
AC,107,CRUZEIRO DO SUL,17600
MG,5241,SAO GOTARDO,16300
SE,3105,ARACAJU,24100
ES,5663,LINHARES,16300
BA,3513,EUCLIDES DA CUNHA,16300
AL,2785,MACEIO,20200
PA,427,BELEM,8500
CE,1349,BREJO SANTO,39300
CE,1447,JUAZEIRO DO NORTE,28100
MA,891,ROSARIO,41200
PA,415,ANANINDEUA,12400
SP,6761,NOVA GRANADA,17100
BA,3897,SEABRA,15800
PB,2079,MAMANGUAPE,8500
PE,2535,RIBEIRAO,8500
GO,9221,ANAPOLIS,22500
SC,8183,LAGES,8500
CE,1411,IGUATU,17000
AL,2833,PENEDO,20200
RN,1759,MOSSORO,25700
CE,1409,ICO,12400
PR,7535,CURITIBA,20200
PB,1987,CATOLE DO ROCHA,25700
BA,3353,BARRA,12400
TO,9341,DIANOPOLIS,20200
MS,9051,CAMPO GRANDE,24100
SP,6597,JALES,16300
PE,2531,RECIFE,12400
PI,1219,TERESINA,7800
MG,4553,GOVERNADOR VALADARES,8500
MT,131,CONFRESA,17100
BA,3669,JUAZEIRO,20200
SP,6427,FRANCISCO MORATO,17100
BA,3849,SALVADOR,25700
SP,7107,SAO PAULO,17200
PE,2521,PETROLINA,12400
PE,2605,TIMBAUBA,8500
AC,139,RIO BRANCO,34100
BA,3391,BRUMADO,12400
MG,4021,AIMORES,7800
MS,9063,CORUMBA,3900
PE,2589,SURUBIM,34200
SP,6209,BARRETOS,24200
MA,803,IMPERATRIZ,8500
MA,731,BARRA DO CORDA,24100
MG,5419,VAZANTE,20200
MA,921,SAO LUIS,12400
PB,1931,BANANEIRAS,12400
BA,3861,SANTALUZ,12400
PI,1223,URUCUI,16200
PR,7859,SANTO ANTONIO DA PLATINA,29400
RR,301,BOA VISTA,37700
MS,9063,CORUMBA,11700
SP,7209,UBATUBA,20900
CE,1389,FORTALEZA,12400
SC,8081,CHAPECO,17100
CE,1537,RUSSAS,13100
MG,4123,BELO HORIZONTE,8500
RS,8785,PASSO FUNDO,17000
PA,535,SANTAREM,20900
TO,9461,MIRACEMA DO TOCANTINS,12400
RJ,6001,RIO DE JANEIRO,7800
BA,3515,FEIRA DE SANTANA,8500
PI,1219,TERESINA,12400
BA,3571,IGUAI,8700
CE,1383,CRATEUS,41600
RN,1765,NOVA CRUZ,8500
BA,3833,RIBEIRA DO POMBAL,21600
RJ,5897,SAO GONCALO,16700
RO,7,ARIQUEMES,20900
AC,153,SENADOR GUIOMARD,16300
RJ,5867,NOVA FRIBURGO,34100
AL,2785,MACEIO,12400
MA,731,BARRA DO CORDA,13100
TO,9241,ARAGUAINA,3900
AL,2733,CAPELA,26600
AL,2733,CAPELA,17700
SP,6953,REGISTRO,13100
PE,2379,CARPINA,8500
BA,3353,BARRA,32700
PA,529,SANTA ISABEL DO PARA,12400
CE,1389,FORTALEZA,8500
MG,5387,TRES PONTAS,12400
RN,1661,CURRAIS NOVOS,16300
RJ,5819,CAMPOS DOS GOITACAZES,34100
SP,2965,BERTIOGA,15600
AL,971,TEOTONIO VILELA,8500
BA,3875,SANTO ESTEVAO,8500
PE,2457,JABOATAO DOS GUARARAPES,8500
SP,7107,SAO PAULO,27000
BA,3697,MACAUBAS,20200
AL,2785,MACEIO,25600
RJ,2907,GUAPIMIRIM,34100
PE,2419,GARANHUNS,12400
RS,8511,ALVORADA,16300
RN,1603,ASSU,17000
CE,1447,JUAZEIRO DO NORTE,4600
AM,255,MANAUS,7800
ES,5611,ARACRUZ,12400
PE,2521,PETROLINA,32500
SP,7107,SAO PAULO,18100
PE,2333,BELO JARDIM,33800
SP,7075,SAO BERNARDO DO CAMPO,12400
MG,4941,PARA DE MINAS,31200
RJ,5883,RESENDE,15100
MG,4617,INHAPIM,16300
PE,2521,PETROLINA,25600
SP,6707,MIRASSOL,34200
MA,793,GRAJAU,21600
PR,7583,GUARAPUAVA,20200
MA,723,BACABAL,20200
TO,9243,ARAGUATINS,53700
SP,7099,SAO JOSE DOS CAMPOS,7800
BA,3669,JUAZEIRO,13100
SP,6789,OSASCO,17000
GO,9225,ANICUNS,16300
PA,401,ABAETETUBA,17700
RJ,5869,NOVA IGUACU,8500
BA,3827,RIACHAO DO JACUIPE,51100
CE,1389,FORTALEZA,14800
SE,3179,MARUIM,8500
BA,3669,JUAZEIRO,13100
PE,2477,LIMOEIRO,12400
SP,6789,OSASCO,15600
SP,7107,SAO PAULO,17100
SP,6163,ARARAQUARA,8700
SP,7057,SANTO ANDRE,8700
PE,2513,PAULISTA,12400
MA,961,ACAILANDIA,17300
MT,9095,JACIARA,17200
MG,5023,PIRAPORA,3900
AP,605,MACAPA,22100
SP,7107,SAO PAULO,8500
MA,757,CAXIAS,3900
TO,9615,TAGUATINGA,24100
BA,3885,SAO GONCALO DOS CAMPOS,8500
SC,8053,BRACO DO NORTE,8500
BA,3313,ALAGOINHAS,24400
MG,4701,JANAUBA,32700
BA,3897,SEABRA,8500
MS,9051,CAMPO GRANDE,11700
AL,2785,MACEIO,13100
PE,2513,PAULISTA,16300
BA,3873,SANTO ANTONIO DE JESUS,16900
RJ,2911,QUEIMADOS,12400
PA,433,BRAGANCA,16700
PA,433,BRAGANCA,51100
CE,1463,MAURITI,22600
PB,2175,SANTA RITA,12400
RJ,6001,RIO DE JANEIRO,13100
RS,8801,PORTO ALEGRE,17200
MA,961,ACAILANDIA,8500
BA,3573,ILHEUS,12400
AL,2785,MACEIO,13100
CE,1373,CAUCAIA,16300
PE,2521,PETROLINA,3900
PR,7937,UNIAO DA VITORIA,13100
SC,8083,CONCORDIA,8500
BA,3511,ESPLANADA,24800
MG,4961,PATROCINIO,20200
BA,3573,ILHEUS,3900
ES,5709,IBATIBA,7800
SE,3105,ARACAJU,16300
MA,757,CAXIAS,17000
CE,1355,CANINDE,25600
PA,427,BELEM,19400
SE,3123,CANINDE DE SAO FRANCISCO,18500
RS,8683,GRAVATAI,17200
AM,255,MANAUS,13400
PI,1159,PICOS,20300
BA,3573,ILHEUS,83000
MA,919,SAO JOAO DOS PATOS,24700
PR,7541,DOIS VIZINHOS,3900
RS,8791,PELOTAS,16300
BA,3087,DIAS D'AVILA,25600
PA,595,PARAUAPEBAS,17200
RJ,6001,RIO DE JANEIRO,16300
SP,7107,SAO PAULO,12400
PE,2419,GARANHUNS,8500
PI,1219,TERESINA,34100
MA,869,PINHEIRO,8500
MA,921,SAO LUIS,12400
SP,6875,PIRACICABA,20900
PA,441,CAMETA,26100
PA,471,ITAITUBA,32600
PA,629,NOVO REPARTIMENTO,51200
BA,3669,JUAZEIRO,12400
SP,7097,SAO JOSE DO RIO PRETO,8700
PR,7943,WENCESLAU BRAZ,3900
MG,4123,BELO HORIZONTE,7800
BA,3581,IPIRA,12400
PA,427,BELEM,24100
SP,7107,SAO PAULO,40600
AL,2705,ARAPIRACA,13100
PE,2531,RECIFE,24600
CE,1411,IGUATU,12400
PA,427,BELEM,12400
BA,3943,UBAITABA,16300
PI,1211,SAO RAIMUNDO NONATO,42700
BA,3363,BARREIRAS,16300
CE,1569,TIANGUA,22200
PI,1219,TERESINA,8700
PA,427,BELEM,17600
PI,1219,TERESINA,12400
RN,1761,NATAL,8500
BA,3573,ILHEUS,24800
SP,6213,BARUERI,40100
RN,1841,SAO JOSE DE MIPIBU,20200
PA,411,ALTAMIRA,12100
CE,1389,FORTALEZA,3900
PB,1975,CAJAZEIRAS,25000
CE,1559,SOBRAL,12400
BA,3669,JUAZEIRO,12400
PI,1167,PIRIPIRI,20200
BA,3513,EUCLIDES DA CUNHA,39600
BA,3597,ITABUNA,19400
MG,5359,TAIOBEIRAS,8500
SE,3189,NOSSA SENHORA DA GLORIA,16700
RO,3,PORTO VELHO,28000
BA,3901,SENHOR DO BONFIM,44500
MA,921,SAO LUIS,8700
MA,761,CHAPADINHA,8500
PR,7513,COLOMBO,20200
ES,5649,IBIRACU,25700
MG,5023,PIRAPORA,12400
MG,4211,CAMBUI,42600
MG,4445,DIVINOPOLIS,24100
RN,1765,NOVA CRUZ,13700
AL,2705,ARAPIRACA,25700
AM,253,MANACAPURU,17200
PA,443,CAPANEMA,16300
BA,3663,JEREMOABO,24700
PE,2499,PALMARES,12100
PB,2175,SANTA RITA,12400
MG,4245,CAPELINHA,12400
BA,3363,BARREIRAS,34200
